query_validation,#Scan#
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",102313
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",104312
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",104662
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",104745
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",104950
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",105142
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",105190
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107440
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107451
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107701
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107705
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107755
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107796
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107804
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107833
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107868
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107869
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",107877
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108353
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108364
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108374
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108398
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108554
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108914
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",108960
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",109011
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",109069
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",109647
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",110171
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",110941
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",110963
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",111012
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",111818
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",111825
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",111846
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",112346
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",112531
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",114050
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",114674
